datetime,country,shape,duration_seconds
1965-10-01 06:40:00,us,other,900.0
1965-10-01 14:00:00,us,sphere,120.0
1965-10-01 21:00:00,us,disk,300.0
1966-10-01 19:00:00,ca,diamond,300.0
1966-10-01 20:00:00,us,light,240.0
1966-10-01 22:00:00,us,light,1200.0
1966-10-01 22:30:00,us,unknown,60.0
1966-10-01 23:00:00,us,disk,120.0
1967-10-01 02:00:00,us,sphere,600.0
1967-10-01 13:00:00,us,circle,30.0
1967-10-01 19:00:00,,sphere,120.0
1967-10-01 20:00:00,us,disk,10.0
1968-10-01 00:00:00,us,cigar,1200.0
1968-10-01 20:00:00,us,circle,600.0
1969-10-01 16:00:00,us,oval,600.0
1970-10-01 00:00:00,,light,600.0
1970-10-01 01:00:00,ca,sphere,180.0
1970-10-01 16:00:00,us,disk,180.0
1970-10-01 17:30:00,us,other,14400.0
1970-10-01 19:00:00,,oval,1500.0
1970-10-01 19:00:00,us,other,900.0
1970-10-01 21:00:00,us,disk,300.0
1970-10-01 23:00:00,,light,240.0
1971-10-01 22:00:00,us,disk,180.0
1972-10-01 01:00:00,us,unknown,10800.0
1972-10-01 04:00:00,us,unknown,600.0
1972-10-01 20:00:00,us,disk,1800.0
1972-10-01 23:00:00,us,rectangle,900.0
1972-10-01 23:00:00,,chevron,1800.0
1973-10-01 01:00:00,us,sphere,900.0
1973-10-01 15:00:00,us,disk,1800.0
1973-10-01 20:00:00,us,light,1200.0
1973-10-01 20:30:00,,triangle,120.0
1973-10-01 21:00:00,us,cylinder,7200.0
1973-10-01 21:30:00,us,disk,7200.0
1973-10-01 21:30:00,us,oval,37800.0
1973-10-01 22:45:00,us,disk,300.0
1974-10-01 01:00:00,us,unknown,600.0
1974-10-01 18:00:00,us,sphere,240.0
1974-10-01 20:00:00,,changing,300.0
1974-10-01 20:00:00,us,unknown,2.0
1974-10-01 21:00:00,us,light,600.0
1975-10-01 21:00:00,,triangle,15.0
1975-10-01 22:00:00,us,changing,1200.0
1976-10-01 07:00:00,us,disk,120.0
1976-10-01 19:00:00,us,disk,600.0
1976-10-01 21:00:00,us,disk,900.0
1977-10-01 01:00:00,,light,120.0
1977-10-01 19:00:00,us,other,360.0
1977-10-01 22:00:00,us,other,60.0
1978-10-01 00:00:00,us,cone,300.0
1978-10-01 20:00:00,us,disk,300.0
1978-10-01 23:15:00,us,cylinder,900.0
1979-10-01 16:00:00,us,disk,1200.0
1979-10-01 19:00:00,us,rectangle,120.0
1979-10-01 21:00:00,us,light,10.0
1979-10-01 21:00:00,us,disk,7200.0
1979-10-01 21:00:00,us,disk,300.0
1979-10-01 23:00:00,us,light,240.0
1980-10-01 01:30:00,us,other,30.0
1980-10-01 20:00:00,us,fireball,20.0
1980-10-01 21:00:00,us,formation,600.0
1980-10-01 22:00:00,us,cigar,180.0
1981-10-01 20:00:00,us,oval,2400.0
1981-10-01 20:00:00,,disk,2400.0
1982-10-01 22:10:00,us,fireball,240.0
1983-10-01 17:00:00,gb,sphere,97836000.0
1983-10-01 20:00:00,us,unknown,20.0
1983-10-01 20:30:00,,oval,720.0
1983-10-01 21:00:00,us,disk,180.0
1984-10-01 01:00:00,us,light,600.0
1984-10-01 20:00:00,us,light,45.0
1984-10-01 21:00:00,us,triangle,180.0
1985-10-01 00:00:00,us,triangle,900.0
1985-10-01 05:30:00,us,light,240.0
1985-10-01 05:30:00,us,sphere,300.0
1985-10-01 21:30:00,us,triangle,3600.0
1985-10-01 21:30:00,,other,120.0
1985-10-01 22:45:00,us,sphere,300.0
1986-10-01 01:00:00,us,circle,2700.0
1986-10-01 22:00:00,,triangle,300.0
1986-10-01 22:00:00,us,light,10.0
1987-10-01 01:00:00,us,,10.0
1987-10-01 19:00:00,ca,sphere,900.0
1987-10-01 20:00:00,us,oval,1800.0
1987-10-01 21:00:00,us,fireball,1800.0
1987-10-01 23:00:00,us,triangle,180.0
1989-10-01 16:00:00,us,disk,180.0
1989-10-01 18:00:00,us,oval,300.0
1989-10-01 20:00:00,us,circle,300.0
1989-10-01 20:00:00,us,oval,300.0
1989-10-01 21:30:00,us,rectangle,10.0
1989-10-01 21:30:00,us,disk,20.0
1990-10-01 17:00:00,us,oval,300.0
1990-10-01 20:00:00,us,light,120.0
1990-10-01 22:15:00,us,light,1200.0
1991-10-01 14:45:00,us,other,900.0
1991-10-01 17:00:00,us,circle,900.0
1991-10-01 18:00:00,us,cigar,300.0
1991-10-01 18:30:00,us,triangle,300.0
1991-10-01 20:30:00,us,disk,900.0
1991-10-01 21:30:00,us,cigar,5.0
1991-10-01 22:00:00,us,other,900.0
1992-10-01 01:30:00,,sphere,90.0
1992-10-01 17:30:00,us,triangle,1200.0
1992-10-01 18:00:00,us,egg,90.0
1992-10-01 19:00:00,us,unknown,20.0
1993-10-01 02:00:00,us,triangle,900.0
1993-10-01 20:00:00,us,light,7200.0
1993-10-01 20:00:00,us,light,1800.0
1994-10-01 11:30:00,us,triangle,1200.0
1994-10-01 13:13:00,us,disk,15.0
1994-10-01 17:00:00,,changing,1200.0
1994-10-01 20:00:00,us,changing,300.0
1994-10-01 20:00:00,us,triangle,3.0
1994-10-01 21:00:00,us,cigar,600.0
1994-10-01 23:00:00,us,circle,5.0
1994-10-01 23:30:00,us,disk,300.0
1995-10-01 12:00:00,us,,20.0
1995-10-01 14:00:00,us,,5.0
1995-10-01 16:30:00,us,,90.0
1995-10-01 17:00:00,us,disk,300.0
1995-10-01 18:30:00,us,rectangle,600.0
1995-10-01 21:00:00,gb,light,60.0
1995-10-01 22:00:00,us,other,20.0
1995-10-01 22:00:00,us,triangle,60.0
1995-10-01 22:30:00,us,,5400.0
1995-10-01 23:00:00,us,triangle,600.0
1996-10-01 01:00:00,,sphere,15.0
1996-10-01 01:00:00,us,formation,30.0
1996-10-01 05:30:00,us,triangle,180.0
